,Solution,Rows,Cols,Threads,Time (s),Speedup,Efficiency
35,Parallel,20,100000,2.0,108.436635,1.9889288799859937,0.9944644399929968
36,Thread Pool API,20,100000,2.0,108.627145,1.9854407017693414,0.9927203508846707
37,Parallel,20,100000,4.0,54.809813,3.9349295900717634,0.9837323975179408
38,Thread Pool API,20,100000,4.0,55.049564,3.917792246274648,0.979448061568662
39,Parallel,20,100000,6.0,44.050155,4.896072556384875,0.8160120927308125
40,Thread Pool API,20,100000,6.0,44.173468,4.882404863480494,0.8137341439134157
41,Parallel,20,100000,8.0,43.162766,4.996731557935838,0.6245914447419797
42,Thread Pool API,20,100000,8.0,37.586473,5.738041848193631,0.7172552310242039
43,Parallel,20,100000,12.0,36.727857,5.872184565519301,0.48934871379327505
44,Thread Pool API,20,100000,12.0,36.899933,5.844800720911878,0.4870667267426565
45,Parallel,20,100000,16.0,38.979777,5.532939683056679,0.3458087301910424
46,Thread Pool API,20,100000,16.0,38.346529,5.624309699581937,0.35151935622387104
47,Parallel,20,100000,24.0,34.784915,6.200180595525389,0.2583408581468912
48,Thread Pool API,20,100000,24.0,34.807106,6.196227718558389,0.2581761549399329
49,Parallel,20,100000,36.0,34.897027,6.180261573571869,0.1716739325992186
50,Thread Pool API,20,100000,36.0,35.286276,6.112086041610058,0.1697801678225016
51,Sequential,30,100000,,323.654168,1.0,1.0
52,Parallel,30,100000,2.0,162.669771,1.989639291986217,0.9948196459931085
53,Thread Pool API,30,100000,2.0,162.902898,1.9867919599564154,0.9933959799782077
54,Parallel,30,100000,4.0,87.807609,3.6859467156200556,0.9214866789050139
55,Thread Pool API,30,100000,4.0,87.763012,3.6878197389123337,0.9219549347280834
56,Parallel,30,100000,6.0,55.556188,5.825708704132113,0.9709514506886855
57,Thread Pool API,30,100000,6.0,56.061518,5.7731966515783615,0.962199441929727
58,Parallel,30,100000,8.0,64.933168,4.984419796058619,0.6230524745073274
59,Thread Pool API,30,100000,8.0,55.915283,5.788295268039688,0.723536908504961
60,Parallel,30,100000,12.0,52.474628,6.1678220567852335,0.5139851713987694
61,Thread Pool API,30,100000,12.0,52.565298,6.15718316673483,0.5130985972279025
62,Parallel,30,100000,16.0,51.987133,6.225659106840919,0.3891036941775574
63,Thread Pool API,30,100000,16.0,52.019055,6.2218386704641215,0.3888649169040076
64,Parallel,30,100000,24.0,52.797381,6.130117855656515,0.25542157731902143
65,Thread Pool API,30,100000,24.0,52.836233,6.125610203891712,0.255233758495488
66,Parallel,30,100000,36.0,51.951972,6.229872621582103,0.17305201726616953
67,Thread Pool API,30,100000,36.0,52.022016,6.221484534547835,0.17281901484855097
68,Sequential,40,100000,,431.544844,1.0,1.0
69,Parallel,40,100000,2.0,216.935485,1.9892773374535753,0.9946386687267876
70,Thread Pool API,40,100000,2.0,217.223168,1.9866428059828316,0.9933214029914158
71,Parallel,40,100000,4.0,109.653613,3.935527815212071,0.9838819538030178
